Protein name	Uniprot ID	NCBI Gene ID	Function
dsdC	P46068	948828	transcription factor and target gene
yfdX	P76520	949108	target gene
metI	P31547	944894	target gene
yhbT	P64599	947669	target gene
ecpA	P0AAA3	948759	target gene
caiD	P31551	948995	target gene
gspD	P45758	947822	target gene
tpr	P02338	946224	target gene
phnJ	P16688	948606	target gene
rnlB	P52130	947113	target gene
fhuB	P06972	946890	target gene
pspE	P23857	945652	target gene
yfdE	P76518	946432	target gene
lacY	P02920	949083	target gene
fabD	P0AAI9	945766	target gene
zntA	P37617	947972	target gene
kbaY	P0AB74	947644	target gene
glnP	P0AEQ6	945621	target gene
tsr	P02942	948884	target gene
ybhS	P0AFQ2	945411	target gene
mnmG	P0A6U3	948248	target gene
zwf	P0AC53	946370	target gene
glgB	P07762	947940	target gene
epd	P0A9B6	947413	target gene
yqhG	Q46858	945919	target gene
hofN	P64634	947898	target gene
fadJ	P77399	949097	target gene
bioD2	P0A6E9	944927	target gene
iclR	P16528	948524	transcription factor and target gene
nrdB	P69924	946732	target gene
yjjZ	P55914	1450313	target gene
purL	P15254	947032	target gene
purH	P15639	948503	target gene
nadB	P10902	947049	target gene
arsB	P0AB93	948011	target gene
moeB	P12282	945452	target gene
yoeB	P69348	1450274	transcription factor and target gene
bolA	P0ABE2	947043	transcription factor and target gene
mcbA	P0AAX6	947523	target gene
umuD	P0AG11	945746	target gene
hmp	P24232	947018	target gene
mhpR	P77569	945938	transcription factor and target gene
ecnB	P0ADB7	2847737	target gene
nfsB	P38489	945778	target gene
gatR	P36930	-	transcription factor
dpiB	P77510	945233	target gene
nuoB	P0AFC7	946738	target gene
crr	P69783	946880	target gene
ubiG	P17993	946607	target gene
uxuR	P39161	948849	transcription factor and target gene
ibaG	P0A9W6	947958	target gene
ahpF	P35340	947540	target gene
cusF	P77214	945188	target gene
adiY	P33234	948627	transcription factor and target gene
allC	P77425	945150	target gene
rutB	P75897	945699	target gene
fpr	P28861	948414	target gene
pykF	P0AD61	946179	target gene
gntK	P46859	947937	target gene
cysE	P0A9D4	948126	target gene
trpGD	P00904	945109	target gene
motA	P09348	947564	target gene
mepH	P76190	945210	target gene
nagE	P09323	945292	target gene
ebgC	P0AC73	947581	target gene
araE	P0AE24	947341	target gene
hflD	P25746	945693	target gene
dinF	P28303	948554	target gene
insK	P19769	948081	target gene
folA	P0ABQ4	944790	target gene
rhaT	P27125	948398	target gene
dnaA	P03004	948217	transcription factor and target gene
fumC	P05042	946147	target gene
phnH	P16686	948619	target gene
ddpX	P77790	945532	target gene
adhE	P0A9Q7	945837	target gene
cydA	P0ABJ9	945341	target gene
xylG	P37388	948127	target gene
ydcS	P76108	946005	target gene
gyrB	P0AES6	948211	target gene
ugpB	P0AG80	947962	target gene
dppB	P0AEF8	948063	target gene
ppsA	P23538	946209	target gene
ilvM	P0ADG1	948279	target gene
folE	P0A6T5	949040	target gene
cheR	P07364	946396	target gene
tam	P76145	946074	target gene
birA	P06709	948469	transcription factor
ackA	P0A6A3	946775	target gene
trxC	P0AGG4	947062	target gene
grcA	P68066	947068	target gene
dadX	P29012	945754	target gene
dinG	P27296	945431	target gene
ugpC	P10907	947953	target gene
guaA	P04079	947334	target gene
murR	P77245	946568	transcription factor and target gene
entC	P0AEJ2	945511	target gene
mazG	P0AEY3	947254	target gene
bglG	P11989	948235	target gene
tolC	P02930	947521	target gene
gatD	P0A9S3	946598	target gene
yccT	P0A8X4	945577	target gene
ppiA	P0AFL3	947870	target gene
cydD	P29018	949052	target gene
glpG	P09391	947936	target gene
dhaK	P76015	945747	target gene
gudX	Q46915	947261	target gene
emrA	P27303	947166	target gene
glaR	P37338	948055	transcription factor
dmsA	P18775	945508	target gene
dps	P0ABT2	945101	target gene
nuoH	P0AFD4	946761	target gene
cysU	P16701	946882	target gene
osmE	P0ADB1	945305	target gene
rpmA	P0A7L8	945190	target gene
hupA	P0ACF0	948499	target gene
nrdI	P0A772	947158	target gene
srlE	P56580	948933	target gene
ynfH	P76173	945822	target gene
argG	P0A6E4	947590	target gene
nikD	P33593	947989	target gene
asnB	P22106	945281	target gene
metC	P06721	946240	target gene
pdhR	P0ACL9	944827	transcription factor and target gene
lon	P0A9M0	945085	target gene
ruvA	P0A809	946369	target gene
aspC	P00509	945553	target gene
glcF	P52074	2847717	target gene
fadB	P21177	948336	target gene
add	P22333	945851	target gene
ccmB	P0ABL8	946692	target gene
topA	P06612	945862	target gene
lysC	P08660	948531	target gene
tauB	Q47538	945027	target gene
sufE	P76194	946173	target gene
ebgA	P06864	947583	target gene
fhuD	P07822	947510	target gene
entS	P24077	946268	target gene
adiC	P60061	948628	target gene
gspC	P45757	947824	target gene
pqiA	P0AFL9	944999	target gene
appX	P24244	30335372,948955	target gene
phrB	P00914	947005	target gene
avtA	P09053	948087	target gene
xylH	P0AGI4	948083	target gene
cysP	P16700	946883	target gene
mioC	P03817	13909069,948249	target gene
araG	P0AAF3	946408	target gene
icd	P08200	945702	target gene
alaA	P0A959	946772	target gene
aaeR	P67662	947760	target gene
gatC	P69831	-	target gene
recX	P33596	947172	target gene
aroF	P00888	947084	target gene
uspE	P0AAC0	945904	target gene
tdcG	P42630	2847724	target gene
glgA	P0A6U8	947932	target gene
carA	P0A6F1	949025	target gene
ddpF	P77622	946020	target gene
glnA	P0A9C5	948370	target gene
mngA	P54745	945355	target gene
fabB	P0A953	946799	target gene
lsrC	P77672	946105	target gene
feoC	P64638	947918	target gene
wrbA	P0A8G6	947263	target gene
tehA	P25396	945852	target gene
wecE	P27833	948296	target gene
fecC	P15030	948826	target gene
lgoR	P39399	948881	target gene
alsE	P32719	948595	target gene
malG	P68183	948530	target gene
malM	P03841	948547	target gene
fimC	P31697	948843	target gene
pheT	P07395	945382	target gene
hyaE	P19931	945573	target gene
cyoA	P0ABJ1	945080	target gene
phoA	P00634	945041	target gene
bhsA	P0AB40	945492	target gene
mhpA	P77397	945197	target gene
cpxR	P0AE88	948404	transcription factor and target gene
rcsB	P0DMC7	947441	transcription factor and target gene
hcr	P75824	947660	target gene
caiF	P0AE58	944795	transcription factor and target gene
artP	P0AAF6	945489	target gene
rpsJ	P0A7R5	947816	target gene
paaY	P77181	945965	target gene
mgtA	P0ABB8	948778	target gene
exuR	P0ACL2	947602	transcription factor and target gene
fes	P13039	945181	target gene
ydeM	P76134	945981	target gene
fimD	P30130	948844	target gene
rutA	P75898	945643	target gene
galP	P0AEP1	947434	target gene
hofM	P45753	947908	target gene
rplU	P0AG48	30329540,949057	target gene
glgC	P0A6V1	947942	target gene
puuP	P76037	946287	target gene
lrhA	P36771	946769	transcription factor and target gene
gcvT	P27248	947390	target gene
dsbC	P0AEG6	947363	target gene
uvrA	P0A698	948559	target gene
hisQ	P52094	947235	target gene
metB	P00935	948434	target gene
atoB	P76461	946727	target gene
nimR	P76241	946590	transcription factor and target gene
ilvI	P00893	948793	target gene
paaK	P76085	945963	target gene
pspA	P0AFM6	945887	target gene
casA	Q46901	947222	target gene
hycD	P16430	948994	target gene
garR	P0ABQ2	947631	target gene
ydhX	P77375	947308	target gene
garP	P0AA80	947642	target gene
aceF	P06959	944794	target gene
argR	P0A6D0	947861	transcription factor and target gene
mgrB	P64512	946351	target gene
ydeI	P31130	946068	target gene
slyB	P0A905	946801	target gene
gspG	P41442	947827	target gene
pitA	P0AFJ7	948009	target gene
fucI	P69922	946195	target gene
fhuF	P39405	948891	target gene
hycC	P16429	945327	target gene
iscR	P0AGK8	945279	transcription factor and target gene
citG	P77231	946395	target gene
fhuC	P07821	945250	target gene
focA	P0AC23	945513	target gene
kdpF	P36937	948946	target gene
hcaD	P77650	945427	target gene
moeA	P12281	945454	target gene
frdD	P0A8Q3	948668	target gene
gnd	P00350	946554	target gene
acs	P27550	948572	target gene
ddpB	P77308	946044	target gene
allA	P77731	945141	target gene
kdpA	P03959	946045	target gene
ddpA	P76128	946052	target gene
mraZ	P22186	944810	transcription factor and target gene
purE	P0AG18	949031	target gene
glxR	P77161	945146	target gene
purB	P0AB89	945695	target gene
speC	P21169	947457	target gene
deoB	P0A6K6	948910	target gene
lysO	P75826	947142	target gene
hydN	P0AAK4	947190	target gene
casD	Q46898	947225	target gene
fadR	P0A8V6	948652	transcription factor
ilvD	P05791	948277	target gene
gabP	P25527	948049	target gene
appB	P26458	947547	target gene
lyx	P37677	948101	target gene
polA	P00582	948356	target gene
agaW	P42905	-	target gene
chiP	P75733	945296	target gene
sotB	P31122	947218	target gene
rspR	P0ACM2	946087	target gene
metQ	P28635	944893	target gene
mdtC	P76399	946608	target gene
gntR	P0ACP5	947946	transcription factor
ccmA	P33931	946714	target gene
melA	P06720	948636	target gene
putP	P07117	945602	target gene
cadB	P0AAE8	948654	target gene
deoA	P07650	948901	target gene
wecF	P56258	2847677	target gene
mpaA	P0ACV6	945969	target gene
napH	P33934	945984	target gene
gpsA	P0A6S7	948125	target gene
aaeB	P46481	947747	target gene
artM	P0AE30	949066	target gene
metH	P13009	948522	target gene
paaZ	P77455	945954	target gene
asnC	P0ACI6	13909070,948259	transcription factor and target gene
csgD	P52106	949119	transcription factor and target gene
paaF	P76082	946011	target gene
baeR	P69228	946605	transcription factor and target gene
cynT	P0ABE9	946548	target gene
rpsR	P0A7T7	948721,9735149	target gene
ruvB	P0A812	946371	target gene
gltX	P04805	946906	target gene
murE	P22188	944791	target gene
wecG	P27836	948301	target gene
cdaR	P37047	944860	transcription factor and target gene
melB	P02921	948635	target gene
ftsL	P0AEN4	944803	target gene
inaA	P27294	946731	target gene
glnB	P0A9Z1	23339395,947016	target gene
paaA	P76077	945833	target gene
oxc	P0AFI0	946845	target gene
gspF	P41441	947829	target gene
ymjD	P0CD93	-	target gene
ccmE	P69490	946697	target gene
yidL	P31449	948186	target gene
fucK	P11553	946022	target gene
hyi	P30147	946186	target gene
gadC	P63235	946057	target gene
yebG	P0ACY9	946364	target gene
modC	P09833	945362	target gene
murC	P17952	946153	target gene
ssb	P0AGE0	948570	target gene
nmpC	P21420	-	target gene
ilvH	P00894	947267	target gene
mngB	P54746	945359	target gene
ddlB	P07862	946324	target gene
ychO	P39165	945801	target gene
citD	P69330	945415	target gene
prpC	P31660	947528	target gene
hyfE	P0AEW1	945298	target gene
hflX	P25519	948688	target gene
ftsZ	P0A9A6	944786	target gene
yeaE	P76234	946302	target gene
rbsR	P0ACQ0	948266	transcription factor and target gene
chbC	P17334	945982	target gene
rplT	P0A7L3	34153126,945152	target gene
rimK	P0C0U4	945484	target gene
rffH	P61887	948299	target gene
lacZ	P00722	945006	target gene
fabZ	P0A6Q6	944888	target gene
lsrR	P76141	946070	transcription factor and target gene
yeaH	P76235	946296	target gene
lpxD	P21645	944882	target gene
hfq	P0A6X3	948689	target gene
flhC	P0ABY7	947280	target gene
pdeR	P77334	945868	target gene
pstA	P07654	948239	target gene
glpB	P13033	946733	target gene
patA	P42588	947120	target gene
hypC	P0AAM3	947192	target gene
glpT	P08194	946704	target gene
gabD	P25526	948060	target gene
carB	P00968	944775	target gene
appC	P26459	945585	target gene
ydhT	P77147	945960	target gene
motB	P0AF06	946402	target gene
sgbH	P37678	948098	target gene
nrdG	P0A9N8	948757	target gene
cadC	P23890	948653	transcription factor and target gene
dtpA	P77304	947436	target gene
hcaC	P0ABW0	947015	target gene
nirB	P08201	947868	target gene
nrfC	P0AAK7	948581	target gene
tonB	P02929	945843	target gene
rbsB	P02925	948261	target gene
htpG	P0A6Z3	945099	target gene
relB	P0C079	39675164,948308	transcription factor and target gene
gdhA	P00370	946802	target gene
safA	P76136	946061	target gene
cheB	P07330	946394	target gene
pepD	P15288	945013	target gene
aroM	P0AE28	945045	target gene
bioF	P12998	945384	target gene
fecB	P15028	946838	target gene
iscU	P0ACD4	947002	target gene
dhaM	P37349	945749	target gene
ompN	P77747	946313	target gene
yqjI	P64588	947584	transcription factor and target gene
tdcE	P42632	947623	target gene
tisB	A5A627	5061527	target gene
galT	P09148	945357	target gene
hcaR	Q47141	947000	transcription factor and target gene
rpsS	P0A7U3	34152300,947811	target gene
rbsC	P0AGI1	948262	target gene
mraY	P0A6W3	944814	target gene
livM	P22729	947966	target gene
gapA	P0A9B2	947679	target gene
yeaG	P0ACY3	946297	target gene
nuoK	P0AFE4	947580	target gene
xdhA	Q46799	947116	target gene
dsbE	P0AA86	949073	target gene
rplM	P0AA10	947828	target gene
nuoA	P0AFC3	946764	target gene
fucU	P0AEN8	945842	target gene
hycE	P16431	947396	target gene
phoR	P08400	945044	target gene
gcd	P15877	944830	target gene
bluR	P75989	945735	transcription factor
nrfD	P32709	948580	target gene
ydhV	P76192	948756	target gene
fucP	P11551	947487	target gene
ugpQ	P10908	947955	target gene
narH	P11349	945780	target gene
entH	P0A8Y8	945215	target gene
glmS	P17169	948241	target gene
rbsD	P04982	948267	target gene
mtlD	P09424	948117	target gene
tsgA	P60778	947869	target gene
glnH	P0AEQ3	944872	target gene
gspH	P41443	947834	target gene
cheA	P07363	946401	target gene
fruK	P0AEW9	946676	target gene
rclA	P77212	946092	target gene
rhaA	P32170	948400	target gene
uvrC	P0A8G0	947203	target gene
gspE	P45759	947823	target gene
dicC	P06965	946120	target gene
rplD	P60723	34156062,947818	target gene
dsbG	P77202	945224	target gene
wecD	P27832	948298	target gene
evgS	P30855	946844	target gene
cecR	P0ACU0	945421	transcription factor and target gene
nanC	P69856	946843	target gene
xapB	P45562	946868	target gene
cspD	P0A968	945669	target gene
yciE	P21363	946871	target gene
acrB	P31224	945108	target gene
araB	P08204	946017	target gene
ssuA	P75853	945560	target gene
acrE	P24180	947706	target gene
gadW	P63201	948029	transcription factor and target gene
nrfF	P32711	948578	target gene
rob	P0ACI0	948916	transcription factor and target gene
caiA	P60584	949064	target gene
hflK	P0ABC7	948698	target gene
slt	P0AGC3	948908	target gene
csgG	P0AEA2	945619	target gene
ynbD	P76093	945985	target gene
casE	Q46897	947226	target gene
hyfC	P77858	947492	target gene
erpA	P0ACC3	944857	target gene
ilvC	P05793	948286	target gene
pspG	P32696	948557	target gene
rplC	P60438	947817	target gene
glpA	P0A9C0	946713	target gene
ycjG	P51981	946013	target gene
murF	P11880	944813	target gene
btsT	P39396	948914	target gene
murP	P77272	946894	target gene
envZ	P0AEJ4	947272	target gene
actP	P32705	948575	target gene
mdtE	P37636	948031	target gene
nimT	P76242	946309	target gene
norR	P37013	947186	transcription factor and target gene
entE	P10378	947426	target gene
purD	P15640	948504	target gene
lysR	P03030	947311	transcription factor and target gene
fucO	P0A9S1	947273	target gene
oppB	P0AFH2	945823	target gene
cspE	P0A972	947024	target gene
betI	P17446	944981	transcription factor and target gene
bdm	P76127	946041	target gene
ecpR	P71301	944966	transcription factor and target gene
slyA	P0A8W2	946167	transcription factor
ydhY	P0AAL6	948749	target gene
paaC	P76079	945956	target gene
rpmI	P0A7Q1	35809335,946349	target gene
dgcC	P0AAP1	945037	target gene
murD	P14900	944818	target gene
gatY	P0C8J6	946636	target gene
ulaR	P0A9W0	948706	transcription factor
purK	P09029	945153	target gene
rof	P0AFW8	944891	target gene
garD	P39829	947641	target gene
gspK	P45762	947831	target gene
rtcR	P38035	947928	transcription factor
fadM	P77712	945812	target gene
phoQ	P23837	946326	target gene
lpxA	P0A722	944849	target gene
hchA	P31658	946481	target gene
ada	P06134	946710	transcription factor and target gene
argI	P04391	948774	target gene
purA	P0A7D4	948695	target gene
wzxE	P0AAA7	948294	target gene
sbmA	P0AFY6	946884	target gene
selO	P77649	946219	target gene
yafQ	Q47149	944911	transcription factor and target gene
eda	P0A955	946367	target gene
cysK	P0ABK5	946877	target gene
pflB	P09373	945514	target gene
fepB	P0AEL6	947538	target gene
rpsO	P0ADZ4	947686	target gene
cueO	P36649	947736	target gene
fimI	P39264	948841	target gene
paaX	P76086	945966	transcription factor and target gene
aspA	P0AC38	948658	target gene
dlgD	P37672	948096	target gene
tyrP	P0AAD4	946412	target gene
hybA	P0AAJ8	944842	target gene
phnI	P16687	948605	target gene
torR	P38684	946182	transcription factor and target gene
cytR	P0ACN7	948427	transcription factor and target gene
fecD	P15029	946816	target gene
xylR	P0ACI3	948086	transcription factor and target gene
katG	P13029	948431	target gene
aroG	P0AB91	945605	target gene
ssuE	P80644	945947	target gene
aaeA	P46482	947748	target gene
ybjN	P0AAY6	945482	target gene
ygiB	P0ADT2	945086	target gene
ybhR	P0AFP9	945403	target gene
ydfD	P29010	946102	target gene
hyaF	P19932	945572	target gene
idnD	P39346	944769	target gene
appA	P07102	946206	target gene
nuoC	P33599	946759	target gene
nanR	P0A8W0	945468	transcription factor
tpiA	P0A858	948409	target gene
yafP	Q47158	944912	target gene
phoB	P0AFJ5	945046	transcription factor and target gene
hybC	P0ACE0	945182	target gene
cysJ	P38038	947239	target gene
psiE	P0A7C8	948528	target gene
agaR	P0ACK2	947636	transcription factor and target gene
rbsA	P04983	948264	target gene
napB	P0ABL3	946698	target gene
grpE	P09372	947097	target gene
yciG	P21361	947489	target gene
gatB	P37188	946610	target gene
exuT	P0AA78	947601	target gene
manZ	P69805	946342	target gene
ypdB	P0AE39	947395	transcription factor
gcl	P0AEP7	945394	target gene
glpC	P0A996	946735	target gene
rstA	P52108	946199	transcription factor and target gene
cheW	P0A964	946400	target gene
tdcA	P0ACQ7	947494	transcription factor and target gene
alaC	P77434	946850	target gene
argP	P0A8S1	944867	transcription factor and target gene
tauD	P37610	945021	target gene
malE	P0AEX9	948538	target gene
rpoE	P0AGB6	947050	target gene
fliI	P52612	946457	target gene
xapR	P23841	946862	transcription factor
acrR	P0ACS9	945516	transcription factor and target gene
yafN	Q47156	944920	target gene
fixC	P68644	948958	target gene
ysgA	P56262	948320	target gene
nikA	P33590	947981	target gene
ompX	P0A917	944967	target gene
serC	P23721	945527	target gene
fucA	P0AB87	947282	target gene
astB	P76216	946259	target gene
pdeL	P21514	947459	transcription factor and target gene
relA	P0AG20	947244	target gene
pstS	P0AG82	948237	target gene
fliZ	P52627	946833	transcription factor and target gene
rpsP	P0A7T3	947103	target gene
gyrA	P0AES4	946614	target gene
argO	P11667	947418	target gene
pspC	P0AFN2	945499	target gene
allS	P0ACR0	945139	transcription factor and target gene
mdtD	P36554	946601	target gene
ilvB	P08142	948182	target gene
yfdV	P0AA49	949110	target gene
ybbY	P77328	945131	target gene
yhdX	P45767	947765	target gene
torC	P33226	946252	target gene
hemA	P0A6X1	945777	target gene
prs	P0A717	945772	target gene
glpD	P13035	947934	target gene
prpE	P77495	946891	target gene
gltA	P0ABH7	945323	target gene
rseA	P0AFX7	947053	target gene
basR	P30843	948631	transcription factor
agaB	P42909	947653	target gene
agaS	P42907	947645	target gene
ynbB	P76091	945972	target gene
rhaR	P09378	948396	transcription factor and target gene
sxy	P75869	946504	target gene
acrA	P0AE06	945112	target gene
rseC	P46187	947052	target gene
uspD	P0AAB8	948415	target gene
cirA	P17315	949042	target gene
murQ	P76535	946893	target gene
ulaE	P39305	948712	target gene
rpsQ	P0AG63	29456677,947808	target gene
rutF	P75893	946594	target gene
yqhD	Q46856	947493	target gene
hcaE	P0ABR5	946998	target gene
uvrB	P0A8F8	945385	target gene
mhpT	P77589	944997	target gene
qseB	P52076	945369	transcription factor and target gene
dnaN	P0A988	948218	target gene
uspA	P0AED0	948007	target gene
gadE	P63204	948023	transcription factor and target gene
xseA	P04994	946988	target gene
yeaR	P64488	946317	target gene
infB	P0A705	947684	target gene
tyrA	P07023	947115	target gene
proW	P14176	947145	target gene
fbaB	P0A991	946632	target gene
uof	A8DYP9	5625562	target gene
uidB	P0CE45	-	target gene
potI	P0AFL1	945485	target gene
ynbC	P76092	945970	target gene
ccmD	P0ABM5	946709	target gene
cbl	Q47083	946502	transcription factor and target gene
alsA	P32721	948593	target gene
moaD	P30748	945398	target gene
malF	P02916	948532	target gene
prpR	P77743	944987	transcription factor and target gene
malP	P00490	947922	target gene
astA	P0AE37	946261	target gene
fabH	P0A6R0	946003	target gene
hybG	P0AAM7	948020	target gene
cyaA	P00936	947755	target gene
rpoD	P00579	947567	target gene
argF	P06960	944844	target gene
tnaC	P0AD89	948223	target gene
entD	P19925	945194	target gene
murI	P22634	948467	target gene
puuR	P0A9U6	945886	transcription factor and target gene
gspJ	P45761	947832	target gene
purM	P08178	946975	target gene
putA	P09546	945600	transcription factor and target gene
atoE	P76460	946721	target gene
manX	P69797	946334	target gene
fadE	Q47146	949007	target gene
hisM	P0AEU3	946790	target gene
oppA	P23843	945830	target gene
osmY	P0AFH8	948895	target gene
hyfD	P77416	947290	target gene
mqsR	Q46865	947500	target gene
agaA	P42906	-	target gene
wecC	P27829	948977	target gene
sutR	P77626	946000	transcription factor and target gene
lysU	P0A8N5	948645	target gene
phnN	P16690	948608	target gene
ybhF	P0A9U1	945413	target gene
xylB	P09099	948133	target gene
fepC	P23878	945201	target gene
fimA	P04128	948838	target gene
araA	P08202	947511	target gene
yhbE	P0AA73	947699	target gene
rpoH	P0AGB3	947970	target gene
trmA	P23003	947143	target gene
dinJ	Q47150	944914	transcription factor and target gene
cstA	P15078	945213	target gene
ftnB	P0A9A2	946407	target gene
lldR	P0ACL7	948122	transcription factor and target gene
glk	P0A6V8	946858	target gene
nuoL	P33607	945540	target gene
ccmF	P33927	948783	target gene
yeiW	P0AFT8	4056031	target gene
malS	P25718	948088	target gene
ilvY	P05827	948284	transcription factor and target gene
cbpM	P63264	945597	target gene
bglF	P08722	948236	target gene
higA	P67701	947593	transcription factor and target gene
nanT	P41036	947740	target gene
uidR	P0ACT6	946150	transcription factor and target gene
metK	P0A817	945389	target gene
glnQ	P10346	945435	target gene
ddpC	P77463	946028	target gene
marA	P0ACH5	947613	transcription factor and target gene
treB	P36672	948761	target gene
hflC	P0ABC3	948697	target gene
glpR	P0ACL0	-	transcription factor and target gene
yaiW	P77562	945038	target gene
sra	P68191	946030	target gene
glcG	P0AEQ1	947473	target gene
paaD	P76080	945959	target gene
hiuH	P76341	946485	target gene
gudD	P0AES2	947258	target gene
mdtB	P76398	946606	target gene
ynfG	P0AAJ1	945638	target gene
alkA	P04395	947371	target gene
ydcU	P77156	945976	target gene
yqhC	Q46855	947491	transcription factor
guaB	P0ADG7	946985	target gene
treC	P28904	948762	target gene
codB	P0AA82	944994	target gene
fimB	P0ADH5	948832	target gene
sufA	P77667	949014	target gene
yqaE	P0AE42	947138	target gene
feaR	Q47129	945941	transcription factor and target gene
wzzE	P0AG00	944815	target gene
kdgR	P76268	946129	transcription factor
leuL	P0AD79	946072	target gene
tynA	P46883	945939	target gene
iraM	P75987	945729	target gene
pspD	P0AFV8	945635	target gene
ydcT	P77795	946007	target gene
higB	P64578	947591	transcription factor and target gene
ybhL	P0AAC4	945401	target gene
flgN	P43533	945634	target gene
hprR	P76340	946486	transcription factor
yegH	P76389	946566	target gene
rbsK	P0A9J6	948260	target gene
manA	P00946	944840	target gene
ihfA	P0A6X7	945472	target gene
livJ	P0AD96	947971	target gene
srlB	P05706	948971	target gene
hupB	P0ACF4	949095	target gene
yaeP	P0A8K5	1450233	target gene
eno	P0A6P9	945032	target gene
gatZ	P0C8J8	946641	target gene
spy	P77754	946253	target gene
rclC	P75685	944974	target gene
ulaD	P39304	948714	target gene
tdcD	P11868	947635	target gene
gcvA	P0A9F6	947278	transcription factor and target gene
yjjP	P0ADD5	948812	target gene
tktB	P33570	945865	target gene
nuoG	P33602	946762	target gene
xapA	P45563	946878	target gene
narG	P09152	945782	target gene
phnL	P16679	948612	target gene
mdtF	P37637	948030	target gene
sfsA	P0A823	944855	target gene
frdA	P00363	948667	target gene
mqsA	Q46864	945814	transcription factor and target gene
pgk	P0A799	947414	target gene
alsC	P32720	948594	target gene
rcdA	P75811	945473	transcription factor
lsrD	P0AFS1	946264	target gene
dgcZ	P31129	946075	target gene
fruB	P69811	946677	target gene
narJ	P0AF26	945807	target gene
yecT	P76296	946511	target gene
cysD	P21156	947217	target gene
borD	P77330	948980	target gene
tauA	Q47537	945030	target gene
phnK	P16678	948611	target gene
fruA	P20966	946672	target gene
yhfA	P0ADX1	947860	target gene
cueR	P0A9G4	945332	transcription factor
exbB	P0ABU7	945420	target gene
hyfG	P77329	946964	target gene
gadB	P69910	946058	target gene
ykgM	P0A7N1	944960	target gene
ymgC	P75994	945090	target gene
gadX	P37639	948028	transcription factor and target gene
arcA	P0A9Q1	948874	transcription factor and target gene
nfo	P0A6C1	946669	target gene
aceK	P11071	944797	target gene
rutR	P0ACU2	945075	transcription factor and target gene
pepA	P68767	948791	transcription factor and target gene
ascF	P24241	947154	target gene
rstB	P18392	948870	target gene
cysG	P0AEA8	947880	target gene
argE	P23908	948456	target gene
cysA	P16676	946889	target gene
lacA	P07464	945674	target gene
atoC	Q06065	947444	transcription factor
ompC	P06996	946716	target gene
uhpA	P0AGA6	948178	transcription factor
acrD	P24177	945464	target gene
wzyE	P27835	948293	target gene
livF	P22731	947961	target gene
yojI	P33941	946705	target gene
ppiD	P0ADY1	946056	target gene
hofC	P36646	945806	target gene
glcA	Q46839	947259	target gene
rfaY	P27240	948145	target gene
sucB	P0AFG6	945307	target gene
grxD	P0AC69	946169	target gene
ybhG	P75777	945414	target gene
mprA	P0ACR9	945282	transcription factor and target gene
ompW	P0A915	945128	target gene
dsdA	P00926	946837	target gene
gspM	P36678	947841	target gene
katE	P21179	946234	target gene
mlrA	P33358	949029	transcription factor and target gene
modA	P37329	945364	target gene
nrdE	P39452	947155	target gene
priB	P07013	948722	target gene
envC	P37690	948129	target gene
serA	P0A9T0	945258	target gene
fliH	P31068	946456	target gene
ybjG	P75806	945450	target gene
lrp	P0ACJ0	32442276,949051	transcription factor and target gene
oppC	P0AFH6	945810	target gene
mlc	P50456	945510	transcription factor and target gene
fepE	P26266	945180	target gene
hha	P0ACE3	945098	target gene
poxB	P07003	946132	target gene
rmf	P0AFW2	945567	target gene
ytfE	P69506	948724	target gene
nsrR	P0AF63	948693	transcription factor
rplW	P0ADZ0	947819	target gene
sucC	P0A836	945312	target gene
fadD	P69451	946327	target gene
hipB	P23873	946065	transcription factor and target gene
chbB	P69795	945339	target gene
nhaA	P13738	944758	target gene
gntT	P39835	947924	target gene
aceB	P08997	948512	target gene
nuoF	P31979	946753	target gene
mukB	P22523	945549	target gene
upp	P0A8F0	946979	target gene
dinQ	A5A624	5061522	target gene
argT	P09551	949030	target gene
secB	P0AG86	948123	target gene
hyaD	P19930	945575	target gene
ftsI	P0AD68	944799	target gene
pspB	P0AFM9	945893	target gene
kbaZ	P0C8K0	947637	target gene
thiP	P31549	944784	target gene
purN	P08179	946973	target gene
yfiR	P64548	947090	target gene
rutC	P0AFQ5	945599	target gene
gfcA	P75885	945029	target gene
degP	P0C0V0	947139	target gene
nuoJ	P0AFE0	946756	target gene
creD	P08369	948868	target gene
hyfB	P23482	946961	target gene
tdh	P07913	948139	target gene
araF	P02924	946409	target gene
nuoM	P0AFE8	947731	target gene
hybF	P0A703	948004	target gene
gpmA	P62707	945068	target gene
nemR	P67430	946166	transcription factor and target gene
yciX	P58094	1450257	target gene
trpA	P0A877	946204	target gene
recF	P0A7H0	948209	target gene
dmsB	P18776	945507	target gene
iraP	P0AAN9	947709	target gene
atoD	P76458	947525	target gene
fixX	P68646	948590	target gene
ubiX	P0AG03	949033	target gene
galS	P25748	949043	transcription factor and target gene
dctR	P37195	948021	target gene
torA	P33225	946267	target gene
gltB	P09831	947724	target gene
