Pkd1,O08852,18763,target gene,Mus musculus
Arg2,O08691,11847,target gene,Mus musculus
Upp1,P52624,22271,target gene,Mus musculus
Tns1,Q7TSV1,21961,target gene,Mus musculus
Uchl1,Q9R0P9,22223,target gene,Mus musculus
-,Q924I1,-,target gene,Mus musculus
Epha4,Q03137,13838,target gene,Mus musculus
Trim32,Q8CH72,69807,transcription factor,Mus musculus
Igh,Q91WR1,-,target gene,Mus musculus
Spp1,P10923,20750,target gene,Mus musculus
Znf281,Q99LI5,226442,transcription factor,Mus musculus
Hmgxb4,Q3U0Q0,-,target gene,Mus musculus
Wnt9a,Q8R5M2,216795,target gene,Mus musculus
Gfi1,P70338,14581,transcription factor,Mus musculus
L1cam,A2AFG8,16728,target gene,Mus musculus
Suz12,Q80U70,52615,transcription factor,Mus musculus
Junb,P09450,16477,transcription factor,Mus musculus
Plagl2,Q9QZJ1,-,transcription factor,Mus musculus
Notum,Q8R116,77583,target gene,Mus musculus
Hsd3b6,O35469,15497,target gene,Mus musculus
Sell,P18337,20343,target gene,Mus musculus
Cxcl11,Q9JHH5,56066,target gene,Mus musculus
Ift20,Q61025,55978,target gene,Mus musculus
Sp1,O89090,20683,transcription factor,Mus musculus
Steap3,Q8CI59,68428,target gene,Mus musculus
Sf1,Q64213,-,transcription factor,Mus musculus
Plagl1,O35745,-,target gene,Mus musculus
Gli2,Q0VGT2,14633,transcription factor,Mus musculus
Hoxb3,P09026,15410,transcription factor,Mus musculus
Nfatc2ip,O09130,18020,transcription factor,Mus musculus
Pdgfra,P26618,18595,target gene,Mus musculus
Ift81,O35594,12589,target gene,Mus musculus
Ppargc1a,O70343,19017,transcription factor,Mus musculus
Cpox,P36552,12892,target gene,Mus musculus
Igfbp6,P47880,16012,target gene,Mus musculus
Itga2b,Q9QUM0,16399,target gene,Mus musculus
Znf354c,Q571J5,30944,target gene,Mus musculus
Ang2,Q64438,11731,target gene,Mus musculus
Nfatc1,Q9DBQ6,18018,target gene,Mus musculus
Zfp819,Q9D4A7,74400,target gene,Mus musculus
Gys2,Q8VCB3,232493,target gene,Mus musculus
Aqp5,Q9WTY4,11830,target gene,Mus musculus
Cd55,Q61475,13136,target gene,Mus musculus
Vezf1,Q5SXC3,-,transcription factor,Mus musculus
Cited2,O35740,17684,transcription factor,Mus musculus
Tlr3,Q99MB1,142980,target gene,Mus musculus
Ing4,Q8C0D7,28019,transcription factor,Mus musculus
Rb1cc1,Q9ESK9,12421,target gene,Mus musculus
Rps14,P62264,20044,target gene,Mus musculus
Eif2s1,Q6ZWX6,13665,target gene,Mus musculus
Slc22a8,O88909,19879,target gene,Mus musculus
Tbxt,P20293,20997,target gene,Mus musculus
Adcyap1r1,P70205,11517,target gene,Mus musculus
H2-Aa,P04228,-,target gene,Mus musculus
Apc,Q61315,-,transcription factor,Mus musculus
Ndp,P48744,17986,target gene,Mus musculus
Nectin2,P32507,19294,target gene,Mus musculus
Cdh2,P15116,12558,target gene,Mus musculus
Siah1a,P61092,20437,target gene,Mus musculus
Tslp,Q9JIE6,53603,target gene,Mus musculus
Ptgfr,P43117,19220,target gene,Mus musculus
Srf,Q9JM73,20807,transcription factor,Mus musculus
Igh,Q5U472,-,target gene,Mus musculus
Mmp3,P28862,17392,target gene,Mus musculus
Nfatc1,B5B2N4,18018,target gene,Mus musculus
Thbs1,P35441,-,target gene,Mus musculus
Dkk1,O54908,13380,target gene,Mus musculus
Zfp157,Q8C1D2,-,target gene,Mus musculus
Sirt1,Q923E4,93759,transcription factor,Mus musculus
Lmx1b,O88609,16917,transcription factor,Mus musculus
Nfkbib,Q60778,18036,target gene,Mus musculus
Tle3,Q08122,21887,transcription factor,Mus musculus
Add1,Q9QYC0,11518,target gene,Mus musculus
Dct,P29812,13190,target gene,Mus musculus
Tnfrsf10b,Q9QZM4,21933,target gene,Mus musculus
Drd1,Q61616,13488,target gene,Mus musculus
Tec,P24604,21682,target gene,Mus musculus
Slc18a3,Q3TYJ1,20508,target gene,Mus musculus
St8sia1,Q64687,20449,target gene,Mus musculus
Bglap3,P54615,12095,target gene,Mus musculus
Insig1,Q8BGI3,231070,target gene,Mus musculus
Cox17,P56394,12856,target gene,Mus musculus
C3,P01027,12266,target gene,Mus musculus
Fxn,O35943,14297,target gene,Mus musculus
Mafa,Q8CF90,378435,transcription factor,Mus musculus
Eif4e,P63073,13684,target gene,Mus musculus
